GRU_units,dropout1,dropout2,filters,kernel_size,pool_size,strides,MAPE
32,0.05,0.05,64,3,1,2,16.32274282667178
32,0.05,0.05,64,3,2,1,7.996239372969047
32,0.05,0.05,64,3,2,2,4.672872974360401
32,0.05,0.1,16,2,1,1,21.869566110057253
32,0.05,0.1,16,2,1,2,13.136367151895284
32,0.05,0.1,16,2,2,1,10.617466577877485
32,0.05,0.1,16,2,2,2,12.289831713489049
32,0.05,0.1,16,3,1,1,5.558731118294262
32,0.05,0.1,16,3,1,2,7.272346868262991
32,0.05,0.1,16,3,2,1,4.772477869729559
32,0.05,0.1,16,3,2,2,8.661652508643211
32,0.05,0.1,32,2,1,1,10.134595572597526
32,0.05,0.1,32,2,1,2,18.32125864630118
32,0.05,0.1,32,2,2,1,16.200716100845227
32,0.05,0.1,32,2,2,2,7.039673427510926
32,0.05,0.1,32,3,1,1,11.994341997408018
32,0.05,0.1,32,3,1,2,5.267020148468413
32,0.05,0.1,32,3,2,1,14.74063534856868
32,0.05,0.1,32,3,2,2,6.065896103724819
32,0.05,0.1,64,2,1,1,15.876191587009206
32,0.05,0.1,64,2,1,2,10.311343243972216
32,0.05,0.1,64,2,2,1,12.107949585517492
32,0.05,0.1,64,2,2,2,6.870851705968738
32,0.05,0.1,64,3,1,1,8.39665303324267
32,0.05,0.1,64,3,1,2,10.22288265726188
32,0.05,0.1,64,3,2,1,7.750550046666293
32,0.05,0.1,64,3,2,2,5.433964955488018
32,0.05,0.15,16,2,1,1,7.257715994146349
32,0.05,0.15,16,2,1,2,17.62487816893406
32,0.05,0.15,16,2,2,1,18.41981365760105
32,0.05,0.15,16,2,2,2,13.8706723781354
32,0.05,0.15,16,3,1,1,10.82608149860452
32,0.05,0.15,16,3,1,2,7.495654049389657
32,0.05,0.15,16,3,2,1,7.05120214271983
32,0.05,0.15,16,3,2,2,16.872577175280195
32,0.05,0.15,32,2,1,1,5.603895631872608
32,0.05,0.15,32,2,1,2,3.9293636048272296
32,0.05,0.15,32,2,2,1,6.385326839498175
32,0.05,0.15,32,2,2,2,21.257324615514435
32,0.05,0.15,32,3,1,1,4.498113336395291
32,0.05,0.15,32,3,1,2,13.87130382280604
32,0.05,0.15,32,3,2,1,5.148337565644809
32,0.05,0.15,32,3,2,2,8.13296137828477
32,0.05,0.15,64,2,1,1,8.380175030861189
32,0.05,0.15,64,2,1,2,8.87455290057548
32,0.05,0.15,64,2,2,1,13.64905691611806
32,0.05,0.15,64,2,2,2,14.644522843449325
32,0.05,0.15,64,3,1,1,13.838389183720947
32,0.05,0.15,64,3,1,2,15.240585649356303
32,0.05,0.15,64,3,2,1,16.98150895325207
32,0.05,0.15,64,3,2,2,11.388196086028582
32,0.05,0.3,16,2,1,1,14.35410715975497
32,0.05,0.3,16,2,1,2,18.7072581289309
32,0.05,0.3,16,2,2,1,7.990721727919249
32,0.05,0.3,16,2,2,2,10.464994973649052
32,0.05,0.3,16,3,1,1,12.618867482684918
32,0.05,0.3,16,3,1,2,15.481818733101768
32,0.05,0.3,16,3,2,1,7.533478720743448
32,0.05,0.3,16,3,2,2,5.781164117194314
32,0.05,0.3,32,2,1,1,9.715076234574411
32,0.05,0.3,32,2,1,2,5.440688228366096
32,0.05,0.3,32,2,2,1,14.632861292299266
32,0.05,0.3,32,2,2,2,6.933283791068136
32,0.05,0.3,32,3,1,1,10.37110778663437
32,0.05,0.3,32,3,1,2,13.52062199184078
32,0.05,0.3,32,3,2,1,10.917398190466445
32,0.05,0.3,32,3,2,2,13.147375842153952
32,0.05,0.3,64,2,1,1,13.396828038455322
32,0.05,0.3,64,2,1,2,12.907659969301784
32,0.05,0.3,64,2,2,1,19.614933542405623
32,0.05,0.3,64,2,2,2,10.97901243915001
32,0.05,0.3,64,3,1,1,6.159520002908976
32,0.05,0.3,64,3,1,2,12.855263728016196
32,0.05,0.3,64,3,2,1,5.699930067090412
32,0.05,0.3,64,3,2,2,5.78360476317603
32,0.1,0.05,16,2,1,1,9.457406294307251
32,0.1,0.05,16,2,1,2,4.976028700505328
32,0.1,0.05,16,2,2,1,23.205552148647428
32,0.1,0.05,16,2,2,2,9.783370269938017
32,0.1,0.05,16,3,1,1,12.155990452536413
32,0.1,0.05,16,3,1,2,20.140103901954117
32,0.1,0.05,16,3,2,1,13.331857682564848
32,0.1,0.05,16,3,2,2,10.120474759749872
32,0.1,0.05,32,2,1,1,8.517050440189802
