GRU_units,dropout1,dropout2,filters,kernel_size,pool_size,strides,MAPE
128,0.15,0.1,64,3,2,2,35.763014941185716
128,0.15,0.15,32,2,1,1,21.350005933414852
128,0.15,0.15,32,2,1,2,24.70398452189034
128,0.15,0.15,32,2,2,1,27.603669699468004
128,0.15,0.15,32,2,2,2,40.26948664667427
128,0.15,0.15,32,3,1,1,20.768557898992245
128,0.15,0.15,32,3,1,2,25.461260715216795
128,0.15,0.15,32,3,2,1,30.382005288779286
128,0.15,0.15,32,3,2,2,30.855193768686327
128,0.15,0.15,64,2,1,1,27.952605849729096
128,0.15,0.15,64,2,1,2,26.52120708263081
128,0.15,0.15,64,2,2,1,28.907312370146656
128,0.15,0.15,64,2,2,2,26.463410989337294
128,0.15,0.15,64,3,1,1,23.163513620219096
128,0.15,0.15,64,3,1,2,29.190213265652947
128,0.15,0.15,64,3,2,1,27.746660612179593
128,0.15,0.15,64,3,2,2,27.755213519047732
128,0.3,0.1,32,2,1,1,21.082841997028765
128,0.3,0.1,32,2,1,2,21.107620313930408
128,0.3,0.1,32,2,2,1,36.52179986761724
128,0.3,0.1,32,2,2,2,27.420296356596303
128,0.3,0.1,32,3,1,1,19.293578905094176
128,0.3,0.1,32,3,1,2,32.50281978951991
128,0.3,0.1,32,3,2,1,24.313004081306758
128,0.3,0.1,32,3,2,2,27.374879858351854
128,0.3,0.1,64,2,1,1,22.797693477199665
128,0.3,0.1,64,2,1,2,25.975276915164663
128,0.3,0.1,64,2,2,1,26.78052241886264
128,0.3,0.1,64,2,2,2,33.40567368077358
128,0.3,0.1,64,3,1,1,21.996233569894745
128,0.3,0.1,64,3,1,2,23.351747676960102
128,0.3,0.1,64,3,2,1,27.427622996943963
128,0.3,0.1,64,3,2,2,30.11719247026888
128,0.3,0.15,32,2,1,1,22.764896510307018
128,0.3,0.15,32,2,1,2,20.30308546148955
128,0.3,0.15,32,2,2,1,31.50191921098513
128,0.3,0.15,32,2,2,2,26.824349681834114
128,0.3,0.15,32,3,1,1,19.211030421854808
128,0.3,0.15,32,3,1,2,25.72546916925742
128,0.3,0.15,32,3,2,1,28.555817642563014
128,0.3,0.15,32,3,2,2,32.301975439854345
128,0.3,0.15,64,2,1,1,22.13612473779484
128,0.3,0.15,64,2,1,2,30.623529750719563
128,0.3,0.15,64,2,2,1,25.244048460082226
128,0.3,0.15,64,2,2,2,34.84920725086088
128,0.3,0.15,64,3,1,1,21.815106329604816
128,0.3,0.15,64,3,1,2,29.014587183346414
128,0.3,0.15,64,3,2,1,33.11370819143799
128,0.3,0.15,64,3,2,2,32.27549365971834
