filters,kernel_size,strides,pool_size,GRU_units,dropout1,dropout2,Avg_mape
32,3,2,2,64,0.05,0.1,2.4640399077908444
64,2,1,1,64,0.05,0.1,1.7937748397495383
64,2,2,1,64,0.05,0.1,1.9667570002252521
64,2,1,2,64,0.05,0.1,2.3708486469714867
64,2,2,2,64,0.05,0.1,2.903782493412296
64,3,1,1,64,0.05,0.1,1.7854437139651196
64,3,2,1,64,0.05,0.1,2.215854010990094
64,3,1,2,64,0.05,0.1,1.9644806396994088
64,3,2,2,64,0.05,0.1,2.549079634728329
16,2,1,1,64,0.05,0.15,1.8821793538463494
16,2,2,1,64,0.05,0.15,2.162533964847102
16,2,1,2,64,0.05,0.15,2.4806855916823936
16,2,2,2,64,0.05,0.15,2.9542813079638552
16,3,1,1,64,0.05,0.15,2.0628621749158995
16,3,2,1,64,0.05,0.15,2.3882292348553564
16,3,1,2,64,0.05,0.15,2.3408255952697528
16,3,2,2,64,0.05,0.15,2.6559980909615994
32,2,1,1,64,0.05,0.15,2.06322523100288
32,2,2,1,64,0.05,0.15,1.9827332701353102
32,2,1,2,64,0.05,0.15,2.40406594223081
32,2,2,2,64,0.05,0.15,2.9745867864985933
32,3,1,1,64,0.05,0.15,1.8986288859371057
32,3,2,1,64,0.05,0.15,2.3683977955010582
32,3,1,2,64,0.05,0.15,2.150583283155743
32,3,2,2,64,0.05,0.15,2.504388742392869
64,2,1,1,64,0.05,0.15,1.776806432269624
64,2,2,1,64,0.05,0.15,2.074004301456142
64,2,1,2,64,0.05,0.15,2.3734928418897927
64,2,2,2,64,0.05,0.15,2.868390556090278
64,3,1,1,64,0.05,0.15,1.7945512246409585
64,3,2,1,64,0.05,0.15,2.4256031125681514
64,3,1,2,64,0.05,0.15,1.9932850667527007
64,3,2,2,64,0.05,0.15,2.499390067153522
16,2,1,1,64,0.1,0.1,2.13563518422804
16,2,2,1,64,0.1,0.1,2.3393401034484387
16,2,1,2,64,0.1,0.1,2.8032734190625703
16,2,2,2,64,0.1,0.1,3.0442381702147547
16,3,1,1,64,0.1,0.1,2.1038772963114805
16,3,2,1,64,0.1,0.1,2.539816018447174
16,3,1,2,64,0.1,0.1,2.3386155269920432
16,3,2,2,64,0.1,0.1,2.881848533148746
32,2,1,1,64,0.1,0.1,1.8545655217450172
32,2,2,1,64,0.1,0.1,1.9948772013045595
32,2,1,2,64,0.1,0.1,2.673795670918743
32,2,2,2,64,0.1,0.1,2.9988075586465945
32,3,1,1,64,0.1,0.1,1.9530325282555818
32,3,2,1,64,0.1,0.1,2.5366004657786925
32,3,1,2,64,0.1,0.1,2.310073010851475
32,3,2,2,64,0.1,0.1,2.687198529338623
64,2,1,1,64,0.1,0.1,1.8456189592273295
64,2,2,1,64,0.1,0.1,2.020019376064139
64,2,1,2,64,0.1,0.1,2.4981208784310454
64,2,2,2,64,0.1,0.1,2.968388681801533
64,3,1,1,64,0.1,0.1,1.803762083679245
64,3,2,1,64,0.1,0.1,2.434907976242267
64,3,1,2,64,0.1,0.1,2.0980135204010693
64,3,2,2,64,0.1,0.1,2.4751842170814675
16,2,1,1,64,0.1,0.15,2.306040996487319
16,2,2,1,64,0.1,0.15,2.202194848620906
16,2,1,2,64,0.1,0.15,2.6692160248770924
16,2,2,2,64,0.1,0.15,3.1160755895442445
16,3,1,1,64,0.1,0.15,2.1137358821817878
16,3,2,1,64,0.1,0.15,2.4655123777853234
16,3,1,2,64,0.1,0.15,2.371523735921387
16,3,2,2,64,0.1,0.15,2.83750105677068
32,2,1,1,64,0.1,0.15,1.8387346710488783
32,2,2,1,64,0.1,0.15,1.9973813234777473
32,2,1,2,64,0.1,0.15,2.5463451892814475
32,2,2,2,64,0.1,0.15,3.0239772777143537
32,3,1,1,64,0.1,0.15,1.9081664716116604
32,3,2,1,64,0.1,0.15,2.4023931532631746
32,3,1,2,64,0.1,0.15,2.221821615968826
32,3,2,2,64,0.1,0.15,2.639589681480532
64,2,1,1,64,0.1,0.15,1.9249280834077644
64,2,2,1,64,0.1,0.15,1.9844155144867655
64,2,1,2,64,0.1,0.15,2.6187790727696973
64,2,2,2,64,0.1,0.15,2.8909836457590523
64,3,1,1,64,0.1,0.15,1.97544432426094
64,3,2,1,64,0.1,0.15,2.2914568272987053
64,3,1,2,64,0.1,0.15,2.286264352378202
64,3,2,2,64,0.1,0.15,2.5686784105551648
16,2,1,1,64,0.15,0.1,2.4128570471994872
16,2,2,1,64,0.15,0.1,2.4649222058234925
16,2,1,2,64,0.15,0.1,2.890486266800919
16,2,2,2,64,0.15,0.1,3.3658043559405613
16,3,1,1,64,0.15,0.1,2.2875496039706342
16,3,2,1,64,0.15,0.1,2.5111621980130607
16,3,1,2,64,0.15,0.1,2.641694316612354
16,3,2,2,64,0.15,0.1,2.968560322130196
32,2,1,1,64,0.15,0.1,2.0791957408900665
32,2,2,1,64,0.15,0.1,2.0372431260338004
32,2,1,2,64,0.15,0.1,2.544215055603273
32,2,2,2,64,0.15,0.1,3.0312442949300284
32,3,1,1,64,0.15,0.1,1.9055960331014274
32,3,2,1,64,0.15,0.1,2.438972611448324
32,3,1,2,64,0.15,0.1,2.3781645286215247
32,3,2,2,64,0.15,0.1,2.726982336474743
64,2,1,1,64,0.15,0.1,1.9739605256563408
64,2,2,1,64,0.15,0.1,2.0594629488356406
64,2,1,2,64,0.15,0.1,2.522834069234415
64,2,2,2,64,0.15,0.1,2.950566317784068
64,3,1,1,64,0.15,0.1,1.9142283892989906
64,3,2,1,64,0.15,0.1,2.431531411048504
64,3,1,2,64,0.15,0.1,2.2486797868144275
64,3,2,2,64,0.15,0.1,2.6023784484138486
16,2,1,1,64,0.15,0.15,2.3855239637588888
16,2,2,1,64,0.15,0.15,2.5229841641827244
16,2,1,2,64,0.15,0.15,2.9640195449288913
16,2,2,2,64,0.15,0.15,3.236323924349314
16,3,1,1,64,0.15,0.15,2.4370439234147887
